# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
REF000	23.111.174.198
REF001	104.237.157.7
REF002	104.197.12.210
REF003	203.194.18.195
REF004	74.204.50.19
REF005	192.3.202.53
REF006	78.158.56.61
REF007	208.111.3.180
REF008	58.1.235.43
REF009	204.89.198.18
REF010	12.178.74.6
REF011	195.78.217.101
REF012	209.112.244.26
REF013	109.69.104.195
REF014	64.250.229.185
REF015	109.69.104.196
REF016	67.210.212.136
REF017	80.69.86.233
REF018	187.50.254.20
REF019	209.242.228.27
REF020	50.199.88.20
REF021	192.3.202.54
REF022	52.32.64.78
REF023	103.1.213.18
REF024	69.41.0.15
REF025	107.161.29.191
REF026	206.12.104.8
REF027	194.116.29.72
REF028	193.190.240.229
REF029	129.123.3.6
REF030	18.221.55.237
REF031	79.136.93.241
REF032	95.160.56.46
REF033	208.67.255.202
REF034	74.81.71.218
REF035	146.129.247.243
REF036	195.194.238.109
REF037	208.111.3.181
REF038	66.6.171.227
REF039	208.93.191.20
REF040	94.46.216.197
REF041	129.105.15.195
REF042	151.249.104.38
REF043	176.10.140.189
REF044	208.43.162.89
REF045	195.251.201.214
REF046	208.111.3.182
REF047	157.7.142.13
REF048	208.88.66.244
REF049	72.249.9.66
REF050	75.147.26.195
REF051	50.57.153.17
REF052	12.5.239.46
REF053	216.243.174.245
REF054	52.86.120.0
REF055	207.251.62.205
REF056	45.56.113.164
REF057	173.216.181.178
REF058	131.204.255.253
REF059	104.131.247.122
REF060	50.194.6.1
REF061	204.152.199.103
REF062	70.88.145.165
REF063	66.207.131.4
REF064	61.195.99.81
REF065	162.255.169.90
REF066	173.255.196.45
REF067	44.34.128.167
REF068	92.222.145.197
REF069	70.91.220.113
REF070	198.137.202.83
REF071	61.195.97.218
REF072	96.92.65.12
REF073	68.67.124.145
REF074	68.67.124.146
REF075	51.254.220.4
REF076	203.137.112.200
REF077	173.247.7.23
REF078	204.15.204.154
REF079	62.255.210.254
REF080	82.223.13.53
REF081	172.104.92.125
REF082	106.240.237.114
REF083	168.235.103.26
REF084	51.254.120.143
REF085	203.74.132.35
REF086	216.126.220.245
REF087	44.137.36.209
REF088	194.109.192.235
REF089	194.109.192.236
REF090	91.92.136.252
REF092	212.237.30.36
REF095	121.93.109.13
REF098	118.111.10.231
REF099	212.237.59.103
REF100	96.94.7.196
REF101	64.137.248.42
REF102	23.111.174.196
REF103	64.137.224.126
REF104	23.111.174.197
REF105	51.254.99.78
REF109	182.168.129.195
REF111	61.195.96.160
REF113	79.37.144.150
REF114	91.121.136.94
REF115	217.182.128.3
REF118	5.249.148.252
REF119	125.129.207.86
REF121	174.37.249.156
REF122	83.137.45.100
REF124	211.14.169.234
REF125	213.181.208.52
REF129	219.116.28.227
REF130	194.59.177.45
